,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
53,ivy_istiles,"Milford HS, Corporal USMC, BA Classic CU Boulder, tried for degree in Astro-Geophysics, Latin teacher RGNS, MA Latin UGA, polio survivor, PPS disabled.",Head of the Little Tennessee R,644,282,6944,0,"@ianbremmer Really? Macron's discussion about 'peace' in exchange for land made me think he was proposing Corsica in exchange for Crimea? You know, cuz it's just land, what's the big deal?",[]
54,Cue81790055,Patriot in the digital battlefield.,,98,36,770,198,"Finland and Sweden are joining NATO. Both country's leaders are WEF young globalists. Add, Johnson,, Trudeau, Macron, Arden, Merkel, Morrison, Biden, Draghi, Zelenskyy etc etc, and you can see who the real enemy is. https://t.co/aHvBjQHAUO",[]
55,RubenFe48380694,"Rubén Oscar Fernández , técnico electricista nacido en la plata , busco ser  una mejor persona en la vida .","La Plata, Argentina",634,105,31530,3314,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
56,mazzquest,,,161,50,7595,0,Didn’t know macron owned countries??? https://t.co/XTYotq1I8e,[]
57,BorisDoesTweets,"Politics, Chewnz, Sportsball and Memes....come at me",Australia,111,51,687,0,"@RealCynicalFox A total UA victory will revitalise CEE in solidarity, unity of purpose, moral vindication &amp; scepticism of French/German domination of the EU. That threatens France's self interest in remaining the co-dominant EU power. I dont doubt Macron would rather sacrifice UA to prevent that",[]
58,TrueBluPatriot,"From NYC. THIS IS A STOOOOPID FREE ACCOUNT!
Garland critics BLOCKED!
Magats blocked!
NO DMs.
I FOLLOW BACK TRUE RESISTORS!!
INVENIAM VIAM AUT FACIAM!!!","Ohio, USA",8462,8502,154500,851,"⚡️France denies Zelensky’s allegations over concessions to Russia. 

The Elysee Palace said French President Emmanuel Macron never discussed anything with Vladimir Putin without the agreement of President Volodymyr Zelensky and has never asked him for any concession.",[]
59,croker_joe,Quivira Boy,,435,74,6014,3314,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
60,helenaaguiar,,,358,102,214,0,"@AstroWaffen @PageFlipped @visegrad24 No, it’s going to be just like in France. People here are going to vote for Bolsonaro (so he might be re-elected) just because there’s no option. Like Macron and Le Pen.",[]
61,PeteHerman12,,,171,12,842,605,"In February 2015, during the Battle of Debaltseve, Putin knew he wasn't going to win. He got from Hollande and Merkel the Minsk ""ceasefire"" to consolidate gains.

Now, Putin knows he can't win. He hopes to get from Macron and Scholz another ""ceasefire"" to consolidate gains.",[]
62,exists_lol,,,77,34,1158,551,"What do you think Macron would do if Russia attacked France? 

What do you think Scholz would do if Russia attacked Germany?",[]
63,Beans2Nuts,,"Georgia, USA",2739,175,31053,5920,Macron and Scholz are negotiating with Putin over Zelensky’s head. It’s completely inappropriate,[]
64,ImperialLuis1,Civilization builder. Shit Post Creator. Labor Nationalist. Sometimes satire & hyperbolic.,"Chicago, IL",1818,4047,142999,8,"So much for Europe's ""strategic autonomy.""

Worth noting though that President Macron of France seems somewhat aware of this, which is why he's been very dovish on Russia, even policing the language used to describe the war. USA wants this war to go on, France wants it over. https://t.co/0hFGg362CN",[]
65,GordHoff17,"Retired writer, performer and producer of creative nonfiction living the Okanagan lifestyle. New grandfather. Dawgo owner. Cancer survivor so far.","British Columbia, Canada",176,23,975,5920,Macron and Scholz are negotiating with Putin over Zelensky’s head. It’s completely inappropriate,[]
66,nanteos620,,"Auburn, AL",710,262,563395,605,"In February 2015, during the Battle of Debaltseve, Putin knew he wasn't going to win. He got from Hollande and Merkel the Minsk ""ceasefire"" to consolidate gains.

Now, Putin knows he can't win. He hopes to get from Macron and Scholz another ""ceasefire"" to consolidate gains.",[]
67,erikmackenzie,#KingdomofAssassins & #Manga Author. Can u find the #Novel's secret? Follow & RTs ≠ Endorse- I support @EFF.ORG & @openrightsgroup @edri.org @fightfortheftr,,7479,6905,41705,130,"trump said nato was obsolete 
macron said it was brain dead 

today nato is revitalized 
and it’s expanding 

thanks to putin

#thepowerofcrisis",[]
68,backtonorway,,,5,0,89,0,@visegrad24 @kajakallas Give the guy a break.  Nobody else wants to talk to Macron that often.,[]
69,keroach4,,,509,191,91288,173,"👇So true.
Macron has just missed an incredible historical opportunity to build further European sovereignty
And in the name of what? Not « humiliating » a declining power that has aggressed a sov country and intimidate our close Euro allies from CEE &amp; N Euro https://t.co/pL0QtHxgWz",[]
70,DonaldRusan,MGM Grand Detroit Casino Engineer 62yrs.old Democrat liberal Progressive for the people by the people may true Democracy stand,,5000,1803,38164,563,THE MACRON-SCHOLZ PLAN TO ESTABLISH PEACE WITH RUSSIA apparently follows the following scenario: (1) Giving Ukraine delayed just enough arms and munition to defend but not re-access the annexed parts of Ukraine. (2) Keeping Putin's face and praising him by appeasement. ———1/2,[]
71,Drschelter,"Director Eurolaw Institute, Attorney at Law and Editor",Brussels,330,544,80614,690,"Macron and Scholz should ONLY be providing Ukraine weapons and training, cutting off Russian energy, and visiting Zelensky in Kyiv (which neither have done). No more chitchats with Putin!",[]
72,BredsedatelMjao,"#Протест #Сопротивление
#Protest #Resistance One world, one humanity! Power to the people!
#ClimateStrike #FridaysForFuture", http://t.me/rf200_now_world,203,407,156330,770,Zelenskyy: Macron asked Ukraine to make concessions to help Putin save face. This is shocking and inappropriate if Macron really said this. Putin is a mass murderer. We should save Ukrainian civilians not Putin’s face.  https://t.co/eqZ1UV6ms9,[]
73,FreeRussia2018,"За свободу, политическую конкуренцию, здравый смысл и социальную справедливость. #бессрочка
Change is coming - like it or not. #ClimateEmergency",,186,484,121230,770,Zelenskyy: Macron asked Ukraine to make concessions to help Putin save face. This is shocking and inappropriate if Macron really said this. Putin is a mass murderer. We should save Ukrainian civilians not Putin’s face.  https://t.co/eqZ1UV6ms9,[]
74,giovtorr,"Lic. Física, Esp. Telecomunicaciones",,211,49,20457,3315,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
75,GibbKathy,"I’m from a flyover state. I stop, visit and return as often as I can. I see real people. I live in a State that honors Democratic values of the Kennedy era.","Seattle, WA",639,165,100099,690,"Macron and Scholz should ONLY be providing Ukraine weapons and training, cutting off Russian energy, and visiting Zelensky in Kyiv (which neither have done). No more chitchats with Putin!",[]
76,bouncermom,"Is it year 3 of the pandemic? yes, it’s year 3, as in three. Exhausted healthcare professional. Get vaccinated dammit!",Great lakes region,3850,2837,148331,3315,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
77,nehoez,♀Ignostic/Centre Left - Focus 👉#Putinism https://t.co/E148TmWVcl https://t.co/IetFWeKRqg https://t.co/ygPkUtPRx2  🎥 https://t.co/aybsr2oqDI,Planet Earth,735,485,91430,3315,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
78,Lo_l_a_,"мне просто хотелось растить свой сад и не портить прекрасный вид

и начальник заставы поймёт меня и беспечный рыбак простит",,75,31,1970,7,Now we have actual recantations. This war is really weird. I should never have defended Macron over Putin https://t.co/yGoAqkqFYj,[]
79,ElenaMikhailova,"PhD in Economics, @EDHEC_BSchool #MBA in Innovation, Strategy and IT, MSc (Hons) #HumanRights #GenderEquality #ConsumerRights #StopWar #numerology",Cloud 9,2,3272,429783,196,"“Putin is a dictator. He doesn’t need to save face in front of anyone,"" https://t.co/p24L0Jg3G4",[]
80,leftydaddy,"Former Associate Professor in Educational Theater at NYU. Artistic Director of Omaha Theater for Young People for 30 years, Author of A IS FOR THE ALCHEMIST.","Kiev, Ukraine",691,268,4137,3315,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
81,Bert_Huisman,,"Hilversum, NL",119,33,3434,3315,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
82,orswoontodeath,Revolutionary Futurist. Yankee. 🇫🇷🇹🇷🇨🇳🇺🇸🇵🇸,Northeastern North America ,156,180,4215,0,Brigitte Macron appreciation post. https://t.co/ecGP3NmuPI,[]
83,louf989032,Born in LA. Traveled and lived in CA. wound up in WA state for the last part of my life. Beautiful area. Try to love everyone.,"Washington, USA",4959,2196,30872,2478,"BREAKING: Ukrainian President Zelensky responds to French President Macron’s suggestion that he make territorial concessions to Putin to help Putin “save face” and end his invasion, saying, “We’re not ready to lose territory to save something for somebody.” RT TO THANK ZELENSKY!",[]
84,EpektasisJohn,"ICXC 
NIKA
Orthodox Christian
Paleoconservative.",,842,573,58407,8,"So much for Europe's ""strategic autonomy.""

Worth noting though that President Macron of France seems somewhat aware of this, which is why he's been very dovish on Russia, even policing the language used to describe the war. USA wants this war to go on, France wants it over. https://t.co/0hFGg362CN",[]
85,crn114,I offer myself upto the casual indifference of the world.,,937,52,2741,0,At last (see headline) https://t.co/TKZ2MsWjIC,[]
86,BevBevjames,"Aotearoa NZ. Affordable, secure, accessible, fit-for-purpose housing. Arohatia te reo.",,77,32,296,0,"@pangapuzzle Pongia is in Māori dictionary. Put pongia in search. Meaning is - verb po (-ngia) with macron over o - to set, of the sun.",[]
87,scecil,,"Evanston, IL",468,139,75192,3315,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
88,GASPARDSylvia,"Konserwatystka 🇵🇱/🇧🇪/🇨🇵 
Proszę osoby o lewicowych poglądach omijać moją stronę i tweety!
Please people with left-wing views avoid my page!
 RT 🔄 RT",Paris Fr/Arlon B/Szczecin Pl,4544,4552,196887,5479,"Interviewed by Italian TV Rai1, Zelensky confirmed that Macron has proposed for Ukraine to give up some territory to Russia in order to present a face-saving option for Putin. 

Zelensky said it’s out of the question.

Macron is the one who needs to save his face after this. https://t.co/snqmtFyH2x",[]
89,kim9973,#FreeAssange,,3591,2539,177132,0,@Marwa__Osman @miriwood Maybe the same as when Victoria Nuland brought cookies during the Maidan coup- you obviously need US Democracy and Freedom- And why did Macron send a ship to you nearby waters?,[]
90,MarkIzAngle,Please RT if you like what I say,"Florida, USA",283,77,3545,605,"In February 2015, during the Battle of Debaltseve, Putin knew he wasn't going to win. He got from Hollande and Merkel the Minsk ""ceasefire"" to consolidate gains.

Now, Putin knows he can't win. He hopes to get from Macron and Scholz another ""ceasefire"" to consolidate gains.",[]
91,mi_twitere,,,199,8,807,3315,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
92,DCTannoudji,"DeepTech innovations (Nuclear, Fusion, CRISPR, RNAm, AI,…) to save the world - Anti-totalitarism with Aron and Orwell - Jewish history in Arab word","Montréal, Québec",290,1095,11483,7248,Zelensky responding to Macron: “We want the Russian army to leave our land — we aren’t on Russian soil. We won’t help Putin save face by paying with our territory. That would be unjust.” https://t.co/s9wnCEOP3z via @zoyashef,[]
93,Secretoriginz,I go to Starbucks (@CaminoBakery actually) with my laptop and pretend to work on screenplays about things unlikely & presently impossible.,Winston-Salem,2700,1551,241653,3315,"Before Macron and pundits like Haass and Ignatius speak more about ceasefires and Ukraine accepting occupation, they should tour Bucha, and consider what happens to Ukrainians in places occupied by Putin's forces.",[]
