,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
10,noelsharpe,,"London,UK",346,254,6499,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
11,dtimm53217,,"Wisconsin, USA",805,291,36675,0,"@Ibrahim54ud @visegrad24 If Marine LePen’s favorite channel says something, it simply MUST be true.",[]
12,HeartGodric,#StandwithUkraine #FBPE #ResistUK #WearaDamnMask #JoeBidenandKamalaHarris2020 #ProsecuteTrump #UKRejoinEUTogether #FBPPR #GetVaxxedNow!,,3075,285,22108,0,"@stylian65 They are no longer denying the #GerasimovDoctrine or that they help #Trump, #LePen, #Farage, #Orban, #Salvini anymore. Yet today, many pple still won't recognise the reality. Including in Cyprus, where the Cypriot politicians laughed at Greek warnings of Russian interference.","['GerasimovDoctrine', 'Trump', 'LePen', 'Farage', 'Orban', 'Salvini']"
13,jrmm22,Embedded developer.,"Phoenix, AZ",292,46,394,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
14,Red_Roscoe,Walrus in a Top Hat,The Arctic Circle,310,963,86787,0,"@PokojowyD @goldenhathi @Felix_Nuno Laundering Russian money, supporting pro-Putin candidates like Orban, Salvini, and LePen.  Why would a country that is anti-Russian want a candidate that owed millions to Russian banks be elected President of France?  https://t.co/DHvpLbMD9O",[]
15,VimalaMcClure,"Founder, Intl. Assoc. Infant Massage, Democrat No DMs please.",Boulder CO,3065,2111,38371,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
16,Adamjonesszn,Revolutionary Insurectionary and Irish republician,,31,4,236,0,"@Troydiscospider Same can be said of various ML groups in support of lepen for example Turkish nationalist party ""vasti partie"" I believe",[]
17,ActionJackTwt,I have a wonderful wife & family. Vietnam Vet TET. 30 yrs of experience in all levels of criminal justice system. Obsessed with freedom & justice for all. ⚖️,United States,4395,3123,89785,13204,"If you think that Putin's brutality in Ukraine, Orban's so-called ""election"" in Hungary, Vucic's election in Serbia, LePen's campaign in France, or GOP efforts to attack democracy are unrelated stories, you don't understand the current global battle between autocracy &amp; democracy.",[]
18,Kveldulf7,🦔🦅🐍 Human rights & geopolitics. Profile pics are hakkapeliitta Finnish light cavalry.,,2236,355,67801,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
19,xupon33124701,🇹🇼Love & Peace❤️ Taiwan 🥰 Observing the ideas of the two major parties in the US and their supporters🇺🇸 Respect & Stand with Ukraine 🇺🇦💛💙,,280,59,3998,2,"@_Vis_Et_Honor_ @nexta_tv And what was the reason for Crimea invasion in 2014? 

It is only fake reason of Poo-tin again. He used the same steps as Hitler did.

Every country has their extremists, in Germany you have AFD, in France LePen etc...",[]
20,BudGothmog44,78 mar LCSW 50 yr Recovery USAF Vet Atheist Dem fm NJ Ohio Mass Hawaii NY Fla no tweets = block #ResistanceUnited #VoteBlue #ACLU #SPLC #BLM 🌊no DM’s,Clearwater Fla Florida NY,71803,71878,509196,0,@OccupyDemocrats @RickLeosUSA Macron is either a fool or has some interest in appeasing Putin! Or both! Both I think! Maybe he’s not so much better than LePen!,[]
21,hypermagda,"A seeker,  and occasionally a finder!
I love: yoga, animals, veg(an) raw food... and people who want to make the world a better place!",,848,690,13777,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
22,LouLachat,Just a dumb human trying to make up for a lot of dumber humans! #FreedomToVoteAct #JohnLewisVotingRightsAct #TheWorldStandsWithUkraine 🌎🇺🇦🌻🌻🌻,Living BLUE in Red state AZ! ,8818,10086,695059,1,"@MollyJongFast He’s been doing this since 2011, or at least that radical right white network has been. They grabbed on to French philosopher/author Renaud Camus’ book “The Great Replacement” then along with Russian asset Marine LePen. Please check.",[]
23,MsDixieDiva8253,Crazy cat lady. I ❤ pitbulls. Writer & reader of books. Political junkie. I 🚫 MAGAs. NO DMs. #BidenHarris #BLM,Mississippi Delta,14130,15304,472281,0,Beginning to think France made a mistake with Macron. At least LePen made it easy to identify her as a snake. Macron &amp; Scholz slither in with appeasement that could ruin the EU. They're working with a terrorist to stop terrorism? That's not going to end well. https://t.co/Q5QuWshb2p,[]
24,FullyWoke1,Immigrant American #NeverForgetJan6th #VoteBlueIn2022 #ResistTrumpism #DefendDACA #ACA #BLM #MotherEarth🏝#CatsOfTwitter; LGBTQ+ ally; #IStandWithUkraine🇺🇦🌻,USA,7704,7492,52935,0,@DeivoRyman They probably support Marie LePen.,[]
25,Dolly2A,,,14,17,473,0,"@thizrubanda no, you are misinforming, zemmour and lepen have nothing to do with it, people kill in your country because people like you instill hatred and division, and people end up freaking out and committing horrors, you be one of the people who blow on the embers of racism and hatred.",[]
26,keith_blankens,"USAF veteran, proud Democrat. President Biden and Vice President Harris WON. Blocks all Trump supporters/bots. #Resist #BLM #BuildBackBetter Slava Ukraini.","Colorado, USA",5900,5467,35299,0,"@guypgoldstein @andersostlund Is Macron trying to make a political play for LePen voters? From a distance, the Putin/fascism part of the electorate seems disturbingly sizable in France.",[]
27,kelman_nancy,Fav saying: put a little swing in your gait. Humanist. Kindness. Tenderness. One of the steps to understanding is to help others. It’s time to help Ukraine.,"Small Town, Canada",821,374,38129,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
28,Gabby7503,,,299,182,29696,0,"@Reuters @EmmanuelMacron World is better off with Macron then LePen! People voted for him for ""some"" of his humanity and diversity let's hope he also change his diversity values and principles towards all races and religions.👍🏼👏🏻",[]
29,pastordan,Crank theologian.,This feed uses strong language and religious ideas not suitable for all ages. Use discretion. Don't judge my employers for the things I say.,1868,5502,120489,0,"There's a reason Marine LePen always puts a scare into the French polity yet never manages to top 50%, is what I'm saying.",[]
30,YAV_INC,🚫PC! Intl Social Justice Advocacy 4Youth+Women +Srs+ADA+Animal +Enviro Issues/NH Native/Trainer Responder@Columbine w/VP WH recog during the Clinton/Gore Admin,NH🇺🇸DC We limit follower #s,4999,601,53727,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
31,suelovesdc,"#Marvel,#TeamCap,#Resist,#ShePersisted,#climatechange,scifi geek,#coffee #wine, #Supernatural,infosec,bigdata,#kickboxing,#womensrights!🌻","Austin, TX",3226,1404,79212,0,"@worldcrunch Macron was absolutely better than LePen, especially for Ukraine- and that is just gut wrenching considering his position. France needs better choices - if Macron wants to give up land to placate the Gremlin - he can start with Paris. #UkraineEU",['UkraineEU']
32,ruby4u2,"In this battle for Democracy you’re either a fighter or not. Full-time Traveler, adventurer camping, motorcycle, hiker & follower of the Sun God🌞","Yuma, AZ",410,66,25102,0,"Speaking of which, LePen is a Russian stooge financed by Russia. So why is Macron trying to appease a sickly, troubled, dying dictator? Is he too being paid off by Russian interests? @apmassaro3 https://t.co/4je77fSajn",[]
33,IrinaNathe,,,101,124,35769,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
34,erwinsegaar,,Helmond,89,66,982,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
35,Global_Occupant,"I care not what floats your boat so long as it does not sink mine! 
Chinese Proverb: ""If you can't change your fate, change your attitude.""

Wine savant
@manutd",,10586,9643,101315,0,"@catmonkey22 @mattlogical @dwolfman54 Hum...let me think...well his last tweet to me was saying LePen was a Nazi.

Quote: ""I mean, she's a nazi. Not hyperbole.""

I am not sure she would agree with that designation.",[]
36,Sava1Savagge,I know. Or even think  .,,4337,1186,15696,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
37,Reserva_Ale,caćem,,93,15,6017,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
38,CarrieFriend49,"Artist/Photographer/Sculptor,(Military Aviation, Orchids, Abstracts, Cityscapes) Ret ESL teacher. Mum & Grammy.Passion for Empathy,Justice,Integrity: One tribe!","Vancouver, BC",4645,2580,83771,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
39,BrodowskaM,We don't stop playing because we grow old; we grow old because we stop playing. (George Bernard Shaw),"Warmińsko-Mazurskie, Polska",259,77,952,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
40,Dixie202021,"Fun(that's a verb) I don't like labels 
Happily married for years 💙💙💙 NO DM  #BLM #LGBTQ Ally 💙 NO LISTS PLEASE! #Kindnessmatters",,7524,11112,162579,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
41,Gailisgailis1,Even George Orwell couldn't predict this. The fascists won everywhere.,,150,116,14479,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
42,OlafWipper,"With President Biden on the job I can finally sleep through the night. Love music (esp. Violin), visual arts and drama.",,6144,5995,180826,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
43,SteveIngles2,"Former Army Medic & lifelong nurse. I worked @ our local VA after nursing school. I love the Beatles, St. Louis Cardinals & KC Chiefs (Pro-Medical Cannabis)DAV","Illinois, USA",1438,1476,80700,2,@MollyJongFast Fox has been pushing Great Replacement since Renaud Camus published his diatribe in 2011. Fox and LePen latched on and have contributed to the growth of the white nationalists since.,[]
44,lindakanihan,,"Massachusetts, USA",516,131,40003,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
45,joyclinrc13,,,2320,511,31384,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
46,NeilevansEvans,"Historian of modern Wales and beyond. Towns, minorities, politics, women, historiography",,3431,2559,89465,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
47,aluapro,,"Toronto, Ontario",135,19,115,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
48,ostotristo,,,207,58,8784,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
49,OGrady_Texas,"Semi-retired Troublemaker 
Not looking to buy anything or kindle a new romance.
#Resistance #Resist",,24159,22643,147338,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
50,omyword,Collage Artist; Long ago writer at Wonkette before my brain fried taking care of dying parents.,"Bisbee, AZ",4966,2658,278033,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
51,TLlanelli,"Join 51,300 @YesCymru the campaign for an independent Wales. The UK can no longer exist but people will still be Welsh or British or both Welsh & British.",Wales,4463,2251,99662,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
52,bartek_wolanski,,,246,250,1485,26,"@Kasparov63 Every time I hear about Macron proposing territory concessions to Russia I wonder which parts of France he wants to give up.
 I feel for the French people having to make a choice between Macron and LePen.",[]
53,JoyfullyLa,I am a #Resister. Twitter suspended my account and I'm starting over.,,1569,1315,6347,3,Marine #LePen and all the candidates from her Fascist party are racist. Pass it on to the #French @NadelParis #MajoritePresidentielle #MajoritePourMacron https://t.co/5HN89Nvt5J,"['LePen', 'French']"
54,White_Rose_Dem,"We almost made it out together, unscathed, but ya know, if the thunder don’t get you then the lightning will. Until next time, babe. 💔💔💔",United States ,629,384,14819,1,"@MollyJongFast He’s been doing this since 2011, or at least that radical right white network has been. They grabbed on to French philosopher/author Renaud Camus’ book “The Great Replacement” then along with Russian asset Marine LePen. Please check.",[]
55,churchladysays,The Devil is not fighting religion. He's producing a counterfeit Christianity so much like the real one that Good Christians are afraid to speak out against it.,Sitting in JUDGEMENT on you.,1237,624,35900,0,@ChristopherJM @zoyashef Funny how everyone said LePen was a Putin Enabler but looks like Macron is one.,[]
56,Nicolaj_Gericke,,,1495,4115,18238,0,"@EUwatchers LePen is far-right, Azov is Neo-Nazi. There is a difference still. Who claimed Ukraine is Neofascist? Me? Show me the quote. You keep making the same mistake and try to categorize me, because that's what you were taught.",[]
57,EUwatchers,"Everything #Europe in one place monitoring European Information Landscape 
RT progressive civil society/causes
Unaffiliated not Apolitical
 🇪🇺 🏳️‍🌈 🏳️🇺🇦",Brussels,7548,25779,395367,0,"@Nicolaj_Gericke Absurd theory, right out of the Russian playbook.
Azov reached only 2% because Ukrainians are not neofascist (France far-right LePen reached +40% last election)
Violence comes from the aggressor country, Russia since at least 2014.

You're ingesting too much disinformation.",[]
58,ionescudaniel,,Romania,442,236,9773,6,I just hope the war finishes with an Ukraine victory and the new security architecture is signed BEFORE the next presidential elections in the US and France. Otherwise - Trump and LePen (or their proxies) will manage to throw us all under the bus.,[]
59,Diana50022146,private account,,95,113,47783,6,I just hope the war finishes with an Ukraine victory and the new security architecture is signed BEFORE the next presidential elections in the US and France. Otherwise - Trump and LePen (or their proxies) will manage to throw us all under the bus.,[]
60,ideespourparis,Des idées pour Paris mais pas seulement surtout pour la France,,66,10,299,7,"@JuliaDavisNews Did they show a picture of their favourite French couple, Marine and Jean-Luc?
#LePen #Melenchon #UnionPopulaire #Nupes https://t.co/i8hTQzQYUM","['LePen', 'Melenchon']"
61,Poorboy35,Native American working overseas. Looking for interesting conversation... Want to know something just ask because we might just have the same bucket list items.,World-wide,619,227,7130,0,I support Ms LePen https://t.co/P6G0Kmy19Z,[]
62,PStorkan,,,208,67,4161,0,"@Hector35501943 @CER_IanBond France and Germany cannot lead anything and anybody. France avoided LePen nazi goverment by few percent this year, Germany government is half communist. Do not make me laugh.",[]
63,DrukenMild,SCREENWRITER/ COMEDIAN - SIMI VALLEY CALIFORNIA - Bringing insanity to an insane world🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦💙🎶,,3442,2558,6518,0,@nikazain Macron is just as bad as LePen. Scholz would fit perfectly in the Weimar period,[]
64,NickRomanRO,"Zuckerberg ❤️ Putin

https://t.co/VXZhUwQF7H

#FuckAIdictature",Romania,1241,88,14307,6,I just hope the war finishes with an Ukraine victory and the new security architecture is signed BEFORE the next presidential elections in the US and France. Otherwise - Trump and LePen (or their proxies) will manage to throw us all under the bus.,[]
65,BogdanBirleanu,,,28,5,56,6,I just hope the war finishes with an Ukraine victory and the new security architecture is signed BEFORE the next presidential elections in the US and France. Otherwise - Trump and LePen (or their proxies) will manage to throw us all under the bus.,[]
66,KotMruk,"Tchórzostwo i głupota zawsze przegrywa, a w Moskwie potrafią to wykorzystać. Jarosław Kaczyński, Warszawa, 10.04.2022 r.",Polska,1501,1275,338487,0,@BartnikStefan @DariuszWjcik9 Ale LePen to Macron :),[]
67,SlavitescuEuseb,#NATO nerd | European security | M.A in Diplomacy & EU Law in Paris | Former RO Diplomat | Working on enhancing 🇪🇺🇹🇩 resilience | Tweets are personal,"Bucarest, Roumanie",5002,744,29228,6,I just hope the war finishes with an Ukraine victory and the new security architecture is signed BEFORE the next presidential elections in the US and France. Otherwise - Trump and LePen (or their proxies) will manage to throw us all under the bus.,[]
68,AlexandruCalim2,"Ing.sistem & economist. I hate stupidity and manipulation. I like science, literature, history, progressive rock. I love the European Union.","Deva, Romania",595,442,782,6,I just hope the war finishes with an Ukraine victory and the new security architecture is signed BEFORE the next presidential elections in the US and France. Otherwise - Trump and LePen (or their proxies) will manage to throw us all under the bus.,[]
69,Tyra_Mizou,"wyrd biðful aræd

writing, audio editing, music is for the soul
#nerdandproud #nerdfamily

#racismkills
#fckNSAfD
#Jediism",4 8 15 16 23 42,135,12,1850,0,"@Lexialex yes,that's the other Nazi terror attack... it's so awful... in America Trump, in Germany the NSAfD, in France LePen, Hungary Orban... it's so frikkin scary.",[]
70,nzalews,,"Napoli, Campania",104,38,1075,0,Macron won reelection but he faces challenges from the Left which has built a coalition for the National Assembly election. https://t.co/zuMf2C9vhg #melenchon #franceelection2022 #LePen,"['melenchon', 'franceelection2022', 'LePen']"
71,dadoobe,"Européen 
Flexitarien
Voyages Photo et Botanique",Montpellier Occitanie ,519,148,3382,0,@frenchieinlimbo @sandrousseau #SandrineRousseau is the Green Lepen,['SandrineRousseau']
72,artur_radomyski,,,42,11,102,0,"Not a well timed comment:
""Congratulations, Macron. Because of your victory, Europe will be more European &amp; less Russian. Soon, Warsaw will be like Paris"".
I know it's against LePen, but him kissing Macron's ass at this point indicates it'll be another walkower win for @pisorgpl https://t.co/fBUKVqT2XF",[]
73,AndreiCaramitru,"McKinsey Senior Partner alum. Tech Investor (main focus healthcare fintech). Eastern Europe, geo-politics and global macro.",Bucharest,752,1471,1322,6,I just hope the war finishes with an Ukraine victory and the new security architecture is signed BEFORE the next presidential elections in the US and France. Otherwise - Trump and LePen (or their proxies) will manage to throw us all under the bus.,[]
74,montyigueldo,#WhyAreTheyDoingThis #donotcomply🙂,,1017,562,11521,0,"I agree, Lepen probably wouldn't. Doesn't mean the French wouldn't vote for it though. https://t.co/5ExGmkYWxl",[]
75,VolnayCm,"William Pitt: “Necessity is....the argument of the tyrants ... the creed of slaves""
Droit Musique Arts de la table - mes tweets 
n’engagent que moi",,2117,203,13007,0,"@zemantomas @alexgiamby @kryztiandk @DmytroKuleba @MFA_Ukraine @JY_LeDrian @EmmanuelMacron @ZelenskyyUa Well, Macron cannot take the political risk in France/abroad to ask Ukraine to surrender, even if all LePen, Zemmour &amp; Melenchon aficionados are screaming that Ukraine must surrender &amp; Putin shall reign. The vast majority of French citizens like me would not accept that.",[]
76,didrol,,,145,92,21347,8,"Look closely  ..

Powerful  cartoon.. 
Illustration  d' un #populiste donnant un speech.

#Mélenchon. 
#lepen 
#zemmour etc  . https://t.co/Ofsk48Mb3n","['populiste', 'Mélenchon', 'lepen']"
77,ThereseTravel,"world travel, software engineering, photography. Long-suffering Mets fan (but 2022 may be our year!)",,158,106,1326,0,"@PaulMcGhee14 @KyivIndependent For the man on the street, it has nothing to do w/ who funds the war, but b/c the war in Ukraine not only has a clear fascist aggressor, but should Ukraine fall, other democracies will be at risk from this aggressor, its allies &amp; internally (eg Trump/MAGA, LePen, Orban)",[]
78,woodzmds,rosi puzi's the new found kink,sporadic replies,45,48,295,0,"lepen ryt
whip it whip it https://t.co/MLHQ945jO0",[]
79,ange_male,,,37,747,163743,18,"Macron horror of tomatoes
Will this situation continue for another 5 years?
#Macron #Cergy #MacronCergy #France #Macron #LePen #Elections2022 #macrondemission #presidentielles2022 #Macron #lepen  #Presidentielles #GiletsJaunes https://t.co/mn6mbZWT2e","['Macron', 'Cergy', 'MacronCergy', 'France', 'Macron']"
80,ange_male,,,37,747,163743,45,"History will not forget this beautiful scene.
#France #Macron #LePen #Elections2022 #macrondemission #presidentielles2022 #Macron #lepen  #Presidentielles #GiletsJaunes https://t.co/Z2P5nfRuhc","['France', 'Macron', 'LePen', 'Elections2022', 'macrondemission']"
81,JEANLUCHOAREAU4,"LFI, RN, gilets jaunes, EELV, cons, antivax, complotistes...
Et maintenant les pro Putin
Ne perdez pas de temps à vouloir me suivre
#Macron2022 #Philippe2027",Réunion,943,787,17550,8,"Look closely  ..

Powerful  cartoon.. 
Illustration  d' un #populiste donnant un speech.

#Mélenchon. 
#lepen 
#zemmour etc  . https://t.co/Ofsk48Mb3n","['populiste', 'Mélenchon', 'lepen']"
82,VERMERSCH1,"Quot capita, tot sensus",En bas à gauche,128,118,4367,8,"Look closely  ..

Powerful  cartoon.. 
Illustration  d' un #populiste donnant un speech.

#Mélenchon. 
#lepen 
#zemmour etc  . https://t.co/Ofsk48Mb3n","['populiste', 'Mélenchon', 'lepen']"
83,ClaudeGuillot3,"🇪🇺 🇧🇪 anti extrêmes, 🔻","Aiseau-Presles, Belgique",353,150,8349,8,"Look closely  ..

Powerful  cartoon.. 
Illustration  d' un #populiste donnant un speech.

#Mélenchon. 
#lepen 
#zemmour etc  . https://t.co/Ofsk48Mb3n","['populiste', 'Mélenchon', 'lepen']"
84,RepuFrancesca,"Plusieurs façons de voir l'avenir.
Proposer, agir, construire, .. vivre libre.
Ou critiquer, haïr, insulter, ...vivre esclave des populo.
Mon choix vivre libre!",Europe,136,141,32378,3,"Now this is a surprise  
 Need  to check  what #lepen says .
#Salvini 
#5thColumn https://t.co/m3wE7Xd0xX","['lepen', 'Salvini', '5thColumn']"
85,StanisLefort78,"vie sur les 5 continents, Science, Histoire et Géopolitique, #VaccinezVous #Boomer boosté #Moderna-isé! incompatible RN ou LFI.🇫🇷🇮🇹🇪🇺","Texas, USA",406,1022,21724,8,"Look closely  ..

Powerful  cartoon.. 
Illustration  d' un #populiste donnant un speech.

#Mélenchon. 
#lepen 
#zemmour etc  . https://t.co/Ofsk48Mb3n","['populiste', 'Mélenchon', 'lepen']"
86,Bar_Duch,Z lasu.,,266,8,282,0,@yoghurt35189292 @tweet4anna @CER_IanBond @DanDePetris Schroeder? LePen? Benalla? Fillon? EU is not just Franco-German duo. 25 remaining ones might just like to have UKR amongst them.,[]
87,DEYCatherine1,Je suis passionnée par la politique. Je soutiens mon Président. Je défends les valeurs de la République. Je défends mes institutions. Soutien forces de l'ordre.,,1384,6102,649256,8,"Look closely  ..

Powerful  cartoon.. 
Illustration  d' un #populiste donnant un speech.

#Mélenchon. 
#lepen 
#zemmour etc  . https://t.co/Ofsk48Mb3n","['populiste', 'Mélenchon', 'lepen']"
88,Piethagoram,"25/3/22 completed 55yrs of suffering/supporting #Notts County. Ipcress File's Palmer bests sums it up ""must we sit through any more of this torture?""",,4999,1826,199814,8,"Look closely  ..

Powerful  cartoon.. 
Illustration  d' un #populiste donnant un speech.

#Mélenchon. 
#lepen 
#zemmour etc  . https://t.co/Ofsk48Mb3n","['populiste', 'Mélenchon', 'lepen']"
89,LucienMarcheci1,"Ma bannière fonctionne aussi pour les antivax, les vegans, les woke, les justiciers à 2 balles, les intégristes verts rouges ou bleus etc, bisous.",,324,81,4328,8,"Look closely  ..

Powerful  cartoon.. 
Illustration  d' un #populiste donnant un speech.

#Mélenchon. 
#lepen 
#zemmour etc  . https://t.co/Ofsk48Mb3n","['populiste', 'Mélenchon', 'lepen']"
90,frenchieinlimbo,"Loathe  nationalism and fascists/extremists  / fighting disinformation/ debunking fake news and propaganda (extremists/ Russianbots)

🇬🇧🇫🇷🇪🇺🏴󠁧󠁢󠁳󠁣󠁴󠁿","Folkestone, England",1513,6114,60530,8,"Look closely  ..

Powerful  cartoon.. 
Illustration  d' un #populiste donnant un speech.

#Mélenchon. 
#lepen 
#zemmour etc  . https://t.co/Ofsk48Mb3n","['populiste', 'Mélenchon', 'lepen', 'zemmour']"
91,Keiradior2M,Debunking fake news and propaganda  since  Brexit  . Compte de secours,"Herne Bay, England",150,339,1322,0,"Look closely  ..

Powerful  cartoon.. 
Illustration  d' un populiste donnant un speech.
#Mélenchon 
#Lepen 
#zemmour https://t.co/0q21KeVq0Q","['Mélenchon', 'Lepen', 'zemmour']"
